"id","text","type_id","version_id","record_created_on_ts_wth_tz","record_changed_on_ts_wth_tz","record_deleted","record_hidden","text_corrected","type_corrected"
5,Media,,1,2023-09-06 13:54:40.481 -0600,,,,,
6,TV Movie,1,1,2023-09-06 13:56:00.147 -0600,,,,,
1,Movie,2,1,2023-09-06 13:54:40.440 -0600,2023-09-06 13:56:00.156 -0600,,,,
2,Video,5,1,2023-09-06 13:54:40.478 -0600,2023-09-06 13:56:00.157 -0600,,,,
3,TV Series,2,1,2023-09-06 13:54:40.480 -0600,2023-09-06 13:56:00.158 -0600,,,,
7,File,,1,2023-09-23 15:31:39.244 -0600,,,,,
4,TV Episode,3,1,2023-09-06 13:54:40.481 -0600,2023-09-23 15:36:42.238 -0600,,,,
8,Downloaded Torrent File,7,1,2023-09-23 15:38:18.514 -0600,,,,,
9,Published and name cleaned up from torrent,8,1,2023-09-27 17:38:18.424 -0600,,,,,
10,Backed up from published folders,9,1,2023-09-27 17:39:20.597 -0600,,,,,
